name,roll_no,period1,period2,period3,period4,period5,period6,period7,period8
Student_1,CSBS001,Present,Absent,Absent,Present,Absent,Present,Present,Absent
Student_2,CSBS002,Absent,Present,Absent,Present,Absent,Absent,Present,Present
Student_3,CSBS003,Absent,Absent,Present,Present,Present,Present,Present,Present
Student_4,CSBS004,Present,Absent,Absent,Absent,Present,Absent,Present,Present
Student_5,CSBS005,Absent,Absent,Present,Absent,Absent,Present,Absent,Present
Student_6,CSBS006,Absent,Absent,Absent,Absent,Absent,Present,Present,Absent
Student_7,CSBS007,Absent,Present,Absent,Absent,Present,Present,Present,Present
Student_8,CSBS008,Present,Present,Present,Present,Absent,Absent,Present,Present
Student_9,CSBS009,Present,Present,Present,Absent,Present,Absent,Absent,Absent
Student_10,CSBS010,Present,Present,Present,Present,Present,Absent,Absent,Present
Student_11,CSBS011,Present,Present,Present,Absent,Absent,Present,Present,Absent
Student_12,CSBS012,Present,Present,Present,Present,Absent,Absent,Present,Present
Student_13,CSBS013,Present,Present,Absent,Absent,Absent,Present,Present,Present
Student_14,CSBS014,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present
Student_15,CSBS015,Present,Present,Present,Present,Present,Absent,Present,Present
Student_16,CSBS016,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent
Student_17,CSBS017,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent
Student_18,CSBS018,Present,Present,Present,Present,Absent,Present,Present,Present
Student_19,CSBS019,Present,Absent,Present,Present,Absent,Present,Absent,Present
Student_20,CSBS020,Present,Present,Absent,Absent,Present,Present,Absent,Present
Student_21,CSBS021,Absent,Present,Absent,Absent,Present,Absent,Absent,Present
Student_22,CSBS022,Absent,Absent,Absent,Present,Absent,Present,Absent,Present
Student_23,CSBS023,Absent,Absent,Present,Absent,Absent,Absent,Present,Present
Student_24,CSBS024,Absent,Absent,Absent,Present,Present,Present,Present,Absent
Student_25,CSBS025,Present,Absent,Present,Absent,Present,Present,Absent,Present
Student_26,CSBS026,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
Student_27,CSBS027,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present
Student_28,CSBS028,Absent,Present,Absent,Absent,Present,Absent,Present,Present
Student_29,CSBS029,Absent,Present,Present,Present,Absent,Absent,Present,Present
Student_30,CSBS030,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent
Student_31,CSBS031,Absent,Absent,Present,Present,Present,Absent,Absent,Absent
Student_32,CSBS032,Present,Present,Absent,Present,Absent,Absent,Present,Absent
Student_33,CSBS033,Absent,Present,Absent,Absent,Absent,Absent,Present,Present
Student_34,CSBS034,Present,Present,Absent,Present,Absent,Absent,Absent,Absent
Student_35,CSBS035,Absent,Absent,Absent,Absent,Present,Present,Absent,Present
Student_36,CSBS036,Absent,Absent,Present,Absent,Absent,Present,Present,Present
Student_37,CSBS037,Present,Absent,Absent,Present,Present,Present,Present,Absent
Student_38,CSBS038,Present,Absent,Present,Present,Present,Present,Absent,Present
Student_39,CSBS039,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
Student_40,CSBS040,Present,Absent,Absent,Present,Absent,Present,Present,Present
