name,roll_no,period1,period2,period3,period4,period5,period6,period7,period8
Student_1,CSBS001,Present,Absent,Present,Present,Absent,Absent,Absent,Present
Student_2,CSBS002,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent
Student_3,CSBS003,Absent,Present,Present,Present,Absent,Absent,Absent,Absent
Student_4,CSBS004,Present,Present,Absent,Absent,Absent,Present,Absent,Present
Student_5,CSBS005,Present,Present,Absent,Absent,Present,Present,Absent,Absent
Student_6,CSBS006,Absent,Absent,Absent,Present,Absent,Present,Present,Absent
Student_7,CSBS007,Present,Absent,Present,Absent,Absent,Present,Present,Present
Student_8,CSBS008,Present,Absent,Present,Absent,Absent,Absent,Present,Present
Student_9,CSBS009,Present,Present,Present,Absent,Present,Present,Present,Absent
Student_10,CSBS010,Present,Present,Absent,Present,Present,Present,Absent,Absent
Student_11,CSBS011,Present,Absent,Absent,Present,Absent,Absent,Present,Absent
Student_12,CSBS012,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
Student_13,CSBS013,Absent,Present,Present,Absent,Absent,Present,Absent,Absent
Student_14,CSBS014,Present,Present,Present,Present,Present,Absent,Present,Present
Student_15,CSBS015,Present,Absent,Absent,Present,Absent,Present,Absent,Absent
Student_16,CSBS016,Absent,Absent,Present,Present,Absent,Present,Absent,Absent
Student_17,CSBS017,Absent,Present,Present,Present,Absent,Absent,Present,Absent
Student_18,CSBS018,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
Student_19,CSBS019,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present
Student_20,CSBS020,Absent,Absent,Absent,Absent,Present,Present,Absent,Absent
Student_21,CSBS021,Absent,Present,Present,Absent,Absent,Absent,Absent,Present
Student_22,CSBS022,Present,Present,Absent,Present,Present,Present,Absent,Absent
Student_23,CSBS023,Present,Absent,Absent,Present,Absent,Absent,Present,Present
Student_24,CSBS024,Absent,Present,Present,Present,Absent,Present,Present,Present
Student_25,CSBS025,Present,Present,Present,Present,Present,Present,Present,Absent
Student_26,CSBS026,Present,Absent,Present,Absent,Present,Absent,Absent,Absent
Student_27,CSBS027,Present,Absent,Present,Present,Present,Absent,Present,Present
Student_28,CSBS028,Present,Present,Absent,Absent,Absent,Present,Present,Present
Student_29,CSBS029,Present,Absent,Absent,Present,Absent,Present,Present,Present
Student_30,CSBS030,Present,Present,Absent,Absent,Absent,Absent,Present,Present
Student_31,CSBS031,Present,Absent,Absent,Present,Present,Absent,Present,Absent
Student_32,CSBS032,Present,Absent,Absent,Absent,Present,Present,Present,Absent
Student_33,CSBS033,Absent,Absent,Absent,Present,Absent,Absent,Present,Present
Student_34,CSBS034,Present,Present,Present,Absent,Absent,Present,Absent,Absent
Student_35,CSBS035,Absent,Present,Present,Present,Present,Absent,Absent,Present
Student_36,CSBS036,Absent,Present,Absent,Present,Present,Present,Present,Absent
Student_37,CSBS037,Absent,Present,Absent,Present,Present,Present,Absent,Absent
Student_38,CSBS038,Present,Absent,Present,Present,Absent,Present,Absent,Present
Student_39,CSBS039,Absent,Absent,Present,Absent,Present,Present,Absent,Absent
Student_40,CSBS040,Present,Present,Present,Absent,Present,Present,Absent,Absent
